Club,Name,Age,Nationality,Position,Pos,MarketValue,ClubInvolved,CountryInvolved,Fee,Movement,Season,Window,League,Profile
Real Sociedad,Ion Ansotegi,22,Spain,Centre-Back,CB,-,Real Sociedad B,Spain,-,In,2005,s,laliga,https://www.transfermarkt.co.uk/ion-ansotegi/profil/spieler/37892
Real Sociedad,Miguel Ángel Sebastián Romero,25,Argentina,Right Midfield,RM,-,Club de Gimnasia y Esgrima La Plata,Argentina,"End of loanJul 5, 2005",In,2005,s,laliga,https://www.transfermarkt.co.uk/miguel-angel-sebastian-romero/profil/spieler/56042
Real Sociedad,Chun-soo Lee,23,"Korea, South",Second Striker,SS,£1.80m,CD Numancia,Spain,"End of loanJun 30, 2005",In,2005,s,laliga,https://www.transfermarkt.co.uk/chun-soo-lee/profil/spieler/12376
Real Sociedad,Sander Westerveld,30,Netherlands,Goalkeeper,GK,£1.80m,RCD Mallorca,Spain,"End of loanJun 30, 2005",In,2005,s,laliga,https://www.transfermarkt.co.uk/sander-westerveld/profil/spieler/3427
RCD Espanyol Barcelona,Eduardo Costa,22,Brazil,Defensive Midfield,DM,£2.70m,Olympique Marseille,France,£3.60m,In,2005,s,laliga,https://www.transfermarkt.co.uk/eduardo-costa/profil/spieler/5374
RCD Espanyol Barcelona,Pablo Zabaleta,20,Argentina,Right-Back,RB,-,Club Atlético San Lorenzo de Almagro,Argentina,£3.15m,In,2005,s,laliga,https://www.transfermarkt.co.uk/pablo-zabaleta/profil/spieler/20007
RCD Espanyol Barcelona,Luis García,24,Spain,Central Midfield,CM,£2.25m,RCD Mallorca,Spain,£2.70m,In,2005,s,laliga,https://www.transfermarkt.co.uk/luis-garcia/profil/spieler/8006
RCD Espanyol Barcelona,Albert Riera,23,Spain,Left Winger,LW,£4.28m,FC Girondins Bordeaux,France,£2.70m,In,2005,s,laliga,https://www.transfermarkt.co.uk/albert-riera/profil/spieler/7373
RCD Espanyol Barcelona,Juanfran,20,Spain,Right-Back,RB,£5.40m,Real Madrid,Spain,Loan fee:£90Th.,In,2005,s,laliga,https://www.transfermarkt.co.uk/juanfran/profil/spieler/16635
RCD Espanyol Barcelona,Armando Sá,29,Mozambique,Right-Back,RB,£900Th.,Villarreal CF,Spain,Loan fee:£90Th.,In,2005,s,laliga,https://www.transfermarkt.co.uk/armando-sa/profil/spieler/13218
RCD Espanyol Barcelona,Jofre,25,Spain,Left Winger,LW,£225Th.,Levante UD,Spain,Free transfer,In,2005,s,laliga,https://www.transfermarkt.co.uk/jofre/profil/spieler/8134
RCD Espanyol Barcelona,Ito,30,Spain,Central Midfield,CM,£900Th.,Real Betis Balompié,Spain,Free transfer,In,2005,s,laliga,https://www.transfermarkt.co.uk/itotm/profil/spieler/7662
RCD Espanyol Barcelona,Albert Riera,24,Spain,Left Winger,LW,£4.50m,Manchester City,England,"End of loanMay 1, 2006",In,2005,s,laliga,https://www.transfermarkt.co.uk/albert-riera/profil/spieler/7373
RCD Espanyol Barcelona,Sergio Sánchez,19,Spain,Centre-Back,CB,-,RCD Espanyol B,Spain,-,In,2005,s,laliga,https://www.transfermarkt.co.uk/sergio-sanchez/profil/spieler/38270
RCD Espanyol Barcelona,Claudiu Raducanu,28,Romania,Centre-Forward,CF,£2.25m,Arminia Bielefeld,Germany,"End of loanJun 30, 2005",In,2005,s,laliga,https://www.transfermarkt.co.uk/claudiu-raducanu/profil/spieler/16032
